word 1,word 2,kor_score
사랑,섹스,6.42
호랑이,고양이,7.17
호랑이,호랑이,10.00
책,종이,6.17
컴퓨터,키보드,6.67
컴퓨터,인터넷,5.92
비행기,자동차,6.00
기차,자동차,6.75
전화기,의사소통,4.83
텔레비전,라디오,5.58
미디어,라디오,5.17
약물,남용,4.17
빵,버터,5.50
오이,감자,4.50
의사,간호사,6.92
교수,의사,4.00
학생,교수,5.33
영리한,학생,2.92
영리한,멍청한,5.17
회사,주식,4.00 
주식,시장,5.08
주식,전화기,1.08
재고품,저장장치,2.00
재고품,재규어,0.83
주식,달걀,0.42
생식력,달걀,2.42
가축,생명,4.42
재고품,삶,0.75
책,도서관,6.25
은행,돈,6.67
나무,숲,7.58
돈,현금,8.33
교수,오이,0.42
왕,배추,0.67
왕,여왕,8.50
왕,장군,5.50
주교,목사,7.00
예루살렘,이스라엘,7.08
예루살렘,팔레스타인,5.33
성스러운,섹스,3.25
성관계,섹스,9.33
마라도나,미식축구,2.67
미식축구,축구,5.67
미식축구,농구,4.67
미식축구,테니스,4.33
테니스,라켓,6.42
안중근,평화,5.00
안중근,테러,3.42
안중근,싸이,1.83
법,변호사,6.92
영화,스타,6.00
영화,팝콘,6.00
영화,비평,5.83
영화,영화관,7.75
물리학,양성자,4.92
물리학,화학,5.50
우주,화학,3.58
알콜,화학,4.17
보드카,진,6.25
보드카,브랜디,6.67
음료,자동차,1.08
음료,귀,0.50
마시다,입,5.42
마시다,먹다,6.92
아기,엄마,6.25
마시다,엄마,1.42
자동차,차량,8.92
원석,보석,7.33
여행,여정,7.00
소년,사내,6.75
해안,해변,8.50
수용소,정신병원,4.83
마술사,마법사,7.17
한낮,정오,7.42
보일러,난로,7.58
음식,과일,5.08
새,수탉,4.50
새,두루미,6.08
도구,구현하다,3.92
형제,수도승,1.33
두루미,구현하다,0.58
사내,형제,4.83
여정,자동차,3.83
수도승,신탁,2.67
묘지,산림,2.75
음식,수탉,2.92
해안,언덕,3.00
숲,무덤,1.75
해변,산림,2.92
수도승,노예,1.33
해안,숲,2.75
사내,마법사,1.42
화음,미소,1.17
유리잔,마술사,1.42
정오,끈,0.42
수탉,여행,0.50
돈,달러,7.17
돈,현금,8.58
돈,화폐,8.50
돈,부,7.83
돈,재산,7.83
돈,소유물,5.67
돈,은행,6.08
돈,예금,6.33
돈,출금,5.75
돈,세탁,3.67
돈,조작,3.17
호랑이,재규어,5.58
호랑이,고양이과,5.92
호랑이,육식동물,6.50
호랑이,포유류,5.75
호랑이,짐승,6.17
호랑이,유기체,4.67
호랑이,동물,6.75
호랑이,동물원,4.67
심리학,정신과,6.00
심리학,불안,5.42
심리학,공포,4.92
심리학,우울,5.42
심리학,클리닉,5.42
심리학,의사,4.92
심리학,프로이드,6.58
심리학,마음,6.83
심리학,건강,5.92
심리학,과학,5.75
심리학,학문,6.92
심리학,인지,6.58
행성,별,7.67
행성,별자리,6.58
행성,보름달,4.33
행성,태양,5.08
행성,은하계,6.25
행성,우주,6.75
행성,우주인,4.58
전례,예시,7.17
전례,정보,4.08
전례,인지,2.50
선례,법,5.33
선례,수집품,2.25
